"Campagna","CodStaz","codice_aziendale","Reg","Prov_","Stazione","cod_istat","Comune","Linea fisica","Saliti7-9","Discesi7-9","Corse7-9","Saliti24H","Corse24H","Saliti_S","Saliti_R","Saliti_RE","Corse_S","Corse_R","Corse_RE","Anno","tipo_giorno","Calendario","POINT_X","POINT_Y","Location"
"C_nov 2016","117","S01210","LO","VA","CAVARIA-OGGIONA IERAGO","12048","Cavaria con Premezzo","PORTO C.-GALLARATE","350","140","8","900","73","840","0","70","72","0","1","2016","Fer","Invernale","0.880353632","45.698222542","POINT (8.80353632 45.698222542)"
"C_nov 2018","243","S01712","LO","BG","CALCIO","16044","Calcio","MILANO-VENEZIA","40","20","5","110","31","0","110","0","0","31","0","2018","Fer","Invernale","9.841366587","45.533015966","POINT (9.841366587 45.533015966)"
"C_nov 2022","229","S01632","LO","MI","MILANO PORTA ROMANA","15146","Milano","MILANO-MORTARA-AL","230","560","8","1470","67","1470","0","0","67","0","0","2022","Feriale","Invernale","0.921316275","45.445922893","POINT (9.21316275 45.445922893)"
"C_nov 2018","181","S01484","LO","MI","MACHERIO CANONICA","108029","Macherio","MONZA-LECCO","160","20","6","260","40","260","0","0","40","0","0","2018","Fer","Invernale","9.286771042","45.645615415","POINT (9.286771042 45.645615415)"
"C_Luglio2023","327","S01950","EM","PC","ROTTOFRENO","33039","Rottofreno","ALESS.-PIACENZA","0","0","0","10","11","0","10","0","0","11","0","2023","Feriale","estivo","9.549300156","4.506050732","POINT (9.549300156 45.06050732)"
"C_nov 2017","192","S01503","LO","BG","CALUSCO","16046","Calusco d'Adda","SEREGNO-BERGAMO","560","110","8","1150","50","0","1150","0","0","50","0","2017","Fer","Invernale","9.470679691","45.684190766","POINT (9.470679691 45.684190766)"
"C_nov 2016","236","S01705","LO","MI","MELZO","15142","Melzo","MILANO-VENEZIA","850","330","16","2140","99","2120","10","20","96","1","2","2016","Fer","Invernale","9.433304033","4.550454073","POINT (9.433304033 45.50454073)"
"C_nov 2021","131","S01400","LO","SO","CHIAVENNA","14018","Chiavenna","CHIAVENNA-COLICO","110","290","5","880","31","0","880","0","0","31","0","2021","Feriale","Invernale","0.940716091","46.321335044","POINT (9.40716091 46.321335044)"
"C_Novembre2023","105","S01142","LO","VA","TRAVEDONA-BIANDRONNO","12128","Travedona-Monate","LUINO-GALLARATE","10","10","3","50","26","20","40","0","11","15","0","2023","Feriale","Invernale","8.696358289","4.580968175","POINT (8.696358289 45.80968175)"
"C_nov 2021","2.785","S01726","LO","CO","Mozzate","13159","Mozzate","Saronno - Varese Nord","390","60","8","800","58","0","800","0","0","58","0","2021","Feriale","Invernale","8.955224279","45.677788011","POINT (8.955224279 45.677788011)"
